Date,Price,volume,open_price,Year,USDZAR Curncy,W 1 Comdty,W 2 Comdty,WZ1 Comdty,YW1 Comdty,year_month,max_temp,precipitation,avg_temp,min_temp,active_flag,day
2021-07-22,5020,232.0,5039.0,2021,14.6929,692.25,701.5,3205.0,3360.0,202107,62.99435,1.3775,50.1191,37.22955,0,Thursday
2021-07-29,5097,961.0,5099.0,2021,14.5564,705.25,713.75,3259.0,3407.0,202107,62.99435,1.3775,50.1191,37.22955,0,Thursday
2021-08-05,5166,303.0,5160.0,2021,14.5092,712.75,725.25,3205.0,3361.0,202108,66.11695,2.2358335,53.89595,41.66615,0,Thursday
2021-08-12,5295,1461.0,5275.0,2021,14.7818,753.5,764.75,3310.0,3469.0,202108,66.11695,2.2358335,53.89595,41.66615,0,Thursday
2021-08-19,5443,2141.0,5371.2,2021,15.2122,727.5,742.75,3304.0,3497.0,202108,66.11695,2.2358335,53.89595,41.66615,0,Thursday
2021-08-26,5510,1656.0,5450.0,2021,14.9357,725.25,739.25,3219.0,3412.0,202108,66.11695,2.2358335,53.89595,41.66615,0,Thursday
2021-09-02,5355,958.0,5359.0,2021,14.465,704.0,717.0,2983.0,3156.0,202109,72.99584999999999,0.865,60.35445,47.7022,0,Thursday
2021-09-09,5310,664.0,5400.0,2021,14.2103,681.5,692.25,2937.0,3100.0,202109,72.99584999999999,0.865,60.35445,47.7022,0,Thursday
2021-09-16,5512,3457.0,5495.0,2021,14.5977,713.0,724.0,3179.0,3345.0,202109,72.99584999999999,0.865,60.35445,47.7022,0,Thursday
2021-09-23,5490,742.0,5480.0,2021,14.75,717.75,728.5,3223.0,3377.0,202109,72.99584999999999,0.865,60.35445,47.7022,0,Thursday
2021-09-30,5584,1028.0,5550.0,2021,15.0683,725.5,736.5,3331.0,3520.0,202109,72.99584999999999,0.865,60.35445,47.7022,0,Thursday
2021-10-07,5634,2007.0,5650.0,2021,14.9578,741.25,754.75,3256.0,3437.0,202110,73.96775,1.8733335,62.2358,50.490300000000005,0,Thursday
2021-10-14,5660,1163.0,5640.0,2021,14.7874,724.75,736.75,3149.0,3309.0,202110,73.96775,1.8733335,62.2358,50.490300000000005,0,Thursday
2021-10-21,5691,1127.0,5700.0,2021,14.6886,741.25,753.5,3156.0,3308.0,202110,73.96775,1.8733335,62.2358,50.490300000000005,0,Thursday
2021-10-28,5883,1220.0,5823.0,2021,15.1345,772.5,785.5,3321.0,3508.0,202110,73.96775,1.8733335,62.2358,50.490300000000005,0,Thursday
2021-11-04,5839,2966.0,5910.0,2021,15.2169,773.75,786.25,3353.0,3584.0,202111,76.6328,2.5066665,65.23115,53.81635,0,Thursday
2021-11-11,5878,2361.0,5908.4,2021,15.3061,812.5,824.25,3227.0,3519.0,202111,76.6328,2.5066665,65.23115,53.81635,0,Thursday
2021-11-18,6005,2574.0,5989.0,2021,15.6455,820.0,830.75,3426.0,3631.0,202111,76.6328,2.5066665,65.23115,53.81635,0,Thursday
